City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Roma,US,80.01,light rain,43.21,-75.46,Wingate By Wyndham Rome
7,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
11,Abaete,BR,86.0,clear sky,-19.16,-45.45,Hotel Millenium
13,Shingu,JP,76.28,clear sky,33.73,135.98,Shingu UI Hotel
20,Ponta Do Sol,PT,75.2,scattered clouds,32.67,-17.1,Hotel do Campo
30,Los Llanos De Aridane,ES,75.2,broken clouds,28.66,-17.92,Valle Aridane
36,Valdez,EC,78.03,broken clouds,1.25,-78.98,hotel Stefany
43,Ibra,OM,87.37,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
45,Bolitoc,PH,81.3,overcast clouds,15.74,119.88,Seasun Beach Resort & Hotel
46,Port Blair,IN,82.54,few clouds,11.67,92.75,Fortune Resort Bay Island
50,Surt,LY,80.94,clear sky,31.21,16.59,City Hotel
57,Bien Hoa,VN,82.4,scattered clouds,10.95,106.82,OYO 991 Duy Anh Hotel
61,Koutiala,ML,78.82,moderate rain,12.39,-5.46,Hotel Campement Poule Verte
62,Kapaa,US,77.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
66,Praia Da Vitoria,PT,80.6,scattered clouds,38.73,-27.07,Hotel Branco I
72,Victoria,HK,84.99,light rain,22.29,114.16,Mini Hotel Central
77,Komsomolskiy,UZ,78.8,scattered clouds,40.43,71.72,Ikathouse
81,Bethel,US,75.2,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
83,Maneadero,MX,80.01,clear sky,31.72,-116.57,Casa De Thompson
86,Hasanpur,IN,80.02,clear sky,28.72,78.28,Sarfarj
88,Atuona,PF,79.16,few clouds,-9.8,-139.03,Villa Enata
93,Hithadhoo,MV,82.45,overcast clouds,-0.6,73.08,Scoop Guest House
99,Ambovombe,MG,75.51,scattered clouds,-25.17,46.08,MONJA Talilisoa
103,Jadu,LY,83.43,clear sky,31.95,12.03,سيفاو عبازة
105,Ugoofaaru,MV,83.59,broken clouds,5.67,73.0,Ungoofaaru Inn
106,Kilindoni,TZ,76.68,few clouds,-7.91,39.67,Bustani B&B
108,Faanui,PF,77.4,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
111,Rossano,IT,87.01,clear sky,39.58,16.63,Hotel Roscianum Wellness & SPA
115,Tual,ID,78.78,light rain,-5.67,132.75,Grand Vilia Hotel
118,Guerrero Negro,MX,85.96,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
121,Hopkinsville,US,88.0,clear sky,36.87,-87.49,Rodeway Inn
122,Ribeira Grande,PT,78.8,scattered clouds,38.52,-28.7,Quinta da Meia Eira
128,Mogadishu,SO,77.9,light rain,2.04,45.34,Hotel Juba
129,Vila Franca Do Campo,PT,77.0,broken clouds,37.72,-25.43,Pestana Bahia Praia
130,Umm Lajj,SA,85.95,clear sky,25.02,37.27,Moon light Furnished Units
133,Belmonte,BR,78.8,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
139,San Patricio,MX,86.0,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
140,Roebourne,AU,75.04,clear sky,-20.78,117.13,Harding River Caravan Park
144,Hobyo,SO,77.7,clear sky,5.35,48.53,Osmani Hotel
146,Cody,US,82.99,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
151,Butaritari,KI,82.58,scattered clouds,3.07,172.79,Isles Sunset Lodge
152,Saint George,US,89.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
156,Yarada,IN,84.2,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
161,Boundiali,CI,75.63,moderate rain,9.52,-6.49,Hotel Paysan Boundiali
162,Alice Town,BS,85.12,overcast clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
168,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
172,Mindelo,CV,87.8,scattered clouds,16.89,-24.98,Hotel Gaudi
185,Lubu,CN,78.42,scattered clouds,23.17,112.28,Classic View Hotel
186,Sabang,ID,83.07,light rain,5.89,95.32,Hotel Citra
