City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.36,55.77,71.6,73,20,17.22,few clouds
1,Roma,US,43.21,-75.46,80.01,74,1,6.93,light rain
2,Yeppoon,AU,-23.13,150.73,59.0,72,59,8.05,broken clouds
3,Yumen,CN,40.28,97.2,57.25,48,17,7.23,few clouds
4,Khatanga,RU,71.97,102.5,49.78,73,82,7.9,broken clouds
5,Ladenburg,DE,49.48,8.61,69.8,46,100,4.7,overcast clouds
6,Port Lincoln,AU,-34.73,135.87,56.89,76,57,16.58,broken clouds
7,Arraial Do Cabo,BR,-22.97,-42.03,82.4,65,0,18.34,clear sky
8,Busselton,AU,-33.65,115.33,41.0,70,5,7.16,clear sky
9,Waipawa,NZ,-41.41,175.52,55.4,76,5,17.22,clear sky
10,Liwale,TZ,-9.77,37.93,72.82,66,50,7.09,scattered clouds
11,Abaete,BR,-19.16,-45.45,86.0,27,0,3.85,clear sky
12,Hobart,AU,-42.88,147.33,55.99,76,99,2.24,overcast clouds
13,Shingu,JP,33.73,135.98,76.28,89,0,3.56,clear sky
14,Constitucion,CL,-35.33,-72.42,55.62,66,17,12.66,few clouds
15,Mataura,NZ,-46.19,168.86,48.61,82,100,7.0,overcast clouds
16,Rikitea,PF,-23.12,-134.97,69.87,66,92,6.46,overcast clouds
17,Gobabis,NA,-22.45,18.97,54.55,34,2,11.03,clear sky
18,Sobolevo,RU,54.43,31.9,59.41,94,93,9.24,overcast clouds
19,Kodiak,US,57.79,-152.41,55.4,76,75,12.75,broken clouds
20,Ponta Do Sol,PT,32.67,-17.1,75.2,53,40,20.8,scattered clouds
21,Mkushi,ZM,-13.62,29.39,71.83,26,3,7.14,clear sky
22,Asau,RO,46.43,26.4,69.01,80,0,3.98,clear sky
23,Yellowknife,CA,62.46,-114.35,46.4,100,90,16.11,light rain
24,Bluff,NZ,-46.6,168.33,52.47,79,96,31.54,overcast clouds
25,Nidzica,PL,53.36,20.43,64.4,88,92,6.93,overcast clouds
26,Saskylakh,RU,71.92,114.08,51.26,61,99,4.74,overcast clouds
27,Vaini,TO,-21.2,-175.2,73.4,88,20,8.05,few clouds
28,Albany,US,42.6,-73.97,77.0,84,100,1.99,light rain
29,Valdivia,CL,-39.81,-73.25,46.4,65,40,3.36,scattered clouds
30,Los Llanos De Aridane,ES,28.66,-17.92,75.2,83,75,18.34,broken clouds
31,Ohrid,MK,41.12,20.8,73.4,35,0,3.36,clear sky
32,Provideniya,RU,64.38,-173.3,48.45,81,66,11.7,broken clouds
33,Barrow,US,71.29,-156.79,37.4,86,90,18.34,overcast clouds
34,Hermanus,ZA,-34.42,19.23,42.01,89,64,10.47,light rain
35,Tasiilaq,GL,65.61,-37.64,42.8,70,75,18.34,light intensity shower rain
36,Valdez,EC,1.25,-78.98,78.03,81,80,10.94,broken clouds
37,Tiksi,RU,71.69,128.87,41.38,85,0,7.11,clear sky
38,Khasan,RU,42.43,130.64,66.81,92,100,9.78,light rain
39,Astana,KZ,51.18,71.45,60.8,67,87,4.47,overcast clouds
40,Ushuaia,AR,-54.8,-68.3,32.0,83,75,12.75,snow
41,Punta Arenas,CL,-53.15,-70.92,41.0,80,75,32.21,broken clouds
42,Mayor Pablo Lagerenza,PY,-19.93,-60.77,102.88,19,0,14.32,clear sky
43,Ibra,OM,22.69,58.53,87.37,48,96,8.86,overcast clouds
44,Bambous Virieux,MU,-20.34,57.76,71.6,73,75,14.99,broken clouds
45,Bolitoc,PH,15.74,119.88,81.3,80,100,3.98,overcast clouds
46,Port Blair,IN,11.67,92.75,82.54,77,24,4.74,few clouds
47,Chuy,UY,-33.7,-53.46,63.37,90,97,7.27,overcast clouds
48,Mar Del Plata,AR,-38.0,-57.56,50.0,53,75,16.11,broken clouds
49,Pisco,PE,-13.7,-76.22,63.0,82,90,6.93,overcast clouds
50,Surt,LY,31.21,16.59,80.94,72,0,17.87,clear sky
51,Margasari,ID,-7.1,109.02,73.78,82,43,5.7,scattered clouds
52,Riviere-Au-Renard,CA,49.0,-64.4,60.8,63,75,13.87,broken clouds
53,Alice Springs,AU,-23.7,133.88,50.0,23,12,4.43,few clouds
54,Cape Town,ZA,-33.93,18.42,48.99,57,40,14.99,scattered clouds
55,Port Elizabeth,ZA,-33.92,25.57,48.2,87,75,20.8,broken clouds
56,Baykit,RU,61.67,96.37,50.83,86,30,1.07,scattered clouds
57,Bien Hoa,VN,10.95,106.82,82.4,88,40,5.82,scattered clouds
58,Olafsvik,IS,64.89,-23.71,52.12,88,92,12.46,light rain
59,Hofn,IS,64.25,-15.21,50.56,70,100,2.48,overcast clouds
60,Mandalgovi,MN,45.76,106.27,57.45,70,100,5.35,light rain
61,Koutiala,ML,12.39,-5.46,78.82,83,100,8.48,moderate rain
62,Kapaa,US,22.08,-159.32,77.0,88,90,8.05,overcast clouds
63,Baijiantan,CN,45.63,85.18,72.86,33,0,5.1,clear sky
64,Bagan,RU,54.1,77.66,62.08,83,0,5.19,clear sky
65,Mahebourg,MU,-20.41,57.7,71.6,73,75,14.99,broken clouds
66,Praia Da Vitoria,PT,38.73,-27.07,80.6,74,40,13.13,scattered clouds
67,Haines Junction,CA,60.75,-137.51,52.99,68,75,3.02,broken clouds
68,Iqaluit,CA,63.75,-68.51,55.4,62,75,20.8,broken clouds
69,Nikolskoye,RU,59.7,30.79,59.0,82,75,6.71,broken clouds
70,Lasa,IT,46.62,10.7,55.99,93,75,5.82,light rain
71,Kaitangata,NZ,-46.28,169.85,52.0,69,94,7.0,overcast clouds
72,Victoria,HK,22.29,114.16,84.99,74,2,5.12,light rain
73,Sagae,JP,38.37,140.27,74.01,90,6,0.74,clear sky
74,Mariental,NA,-24.63,17.97,50.97,42,0,13.18,clear sky
75,Valparaiso,CL,-33.04,-71.63,60.8,55,40,13.87,scattered clouds
76,Aklavik,CA,68.22,-135.01,44.6,93,40,5.82,scattered clouds
77,Komsomolskiy,UZ,40.43,71.72,78.8,44,41,4.7,scattered clouds
78,Lebu,CL,-37.62,-73.65,48.92,60,1,15.41,clear sky
79,Souillac,MU,-20.52,57.52,71.6,73,75,14.99,broken clouds
80,Ambilobe,MG,-13.2,49.05,69.17,79,0,4.68,clear sky
81,Bethel,US,41.37,-73.41,75.2,88,90,6.93,overcast clouds
82,Bay Roberts,CA,47.6,-53.26,66.99,100,0,4.0,clear sky
83,Maneadero,MX,31.72,-116.57,80.01,45,3,5.99,clear sky
